Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,3000.0 um
Duration,30 sec
Resolution,0.333 um/sample
Force,3.00 mg
Measurement Range,6.5 um
Profile,Hills&Valleys
Display Range,Auto
R. Cursor,Pos: 2970.3 um Width: 2472.1 um
M. Cursor,Pos: 55.9 um Width: 2506.9 um

Scan Data
Lateral um,Raw Angstrom,
0.0,1202.9,,
0.3,1190.0,,
0.7,1179.6,,
1.0,1171.3,,
1.3,1161.3,,
1.7,1150.7,,
2.0,1135.7,,
2.3,1118.4,,
2.7,1103.0,,
3.0,1087.5,,
3.3,1072.3,,
3.7,1056.4,,
4.0,1038.2,,
4.3,1017.3,,
4.7,998.6,,
5.0,984.2,,
5.3,972.4,,
5.7,957.0,,
6.0,938.0,,
6.3,912.7,,
6.7,893.4,,
7.0,874.6,,
7.3,856.2,,
7.7,845.5,,
8.0,828.9,,
8.3,806.8,,
8.7,789.5,,
9.0,775.8,,
9.3,763.7,,
9.7,754.1,,
10.0,741.1,,
10.3,718.6,,
10.7,698.9,,
11.0,684.3,,
11.3,671.4,,
11.7,661.2,,
12.0,650.6,,
12.3,632.8,,
12.7,615.6,,
13.0,600.9,,
13.3,589.3,,
13.7,577.0,,
14.0,564.1,,
14.3,546.6,,
14.7,526.5,,
15.0,513.7,,
15.3,502.5,,
15.7,493.3,,
16.0,481.6,,
16.3,467.5,,
16.7,447.3,,
17.0,429.0,,
17.3,413.9,,
17.7,407.5,,
18.0,395.9,,
18.3,380.2,,
18.7,363.4,,
19.0,346.2,,
19.3,330.0,,
19.7,321.5,,
20.0,309.4,,
20.3,292.9,,
20.7,270.7,,
21.0,252.2,,
21.3,234.8,,
21.7,225.1,,
22.0,216.4,,
22.3,205.0,,
22.7,188.8,,
23.0,171.5,,
23.3,155.4,,
23.7,143.7,,
24.0,137.4,,
24.3,124.5,,
24.7,107.5,,
25.0,92.5,,
25.3,80.2,,
25.7,71.2,,
26.0,64.9,,
26.3,55.9,,
26.7,35.8,,
27.0,17.1,,
27.3,5.7,,
27.7,-6.7,,
28.0,-14.1,,
28.3,-17.9,,
28.7,-26.6,,
29.0,-37.1,,
29.3,-43.2,,
29.7,-45.5,,
30.0,-44.8,,
30.3,-45.3,,
30.7,-49.8,,
31.0,-60.9,,
31.3,-67.5,,
31.7,-69.0,,
32.0,-66.4,,
32.3,-63.6,,
32.7,-64.5,,
33.0,-66.8,,
33.3,-68.3,,
33.7,-66.0,,
34.0,-53.7,,
34.3,-47.3,,
34.7,-42.5,,
35.0,-34.1,,
35.3,-25.1,,
35.7,-14.8,,
36.0,3.3,,
36.3,21.8,,
36.7,27.9,,
37.0,32.6,,
37.3,39.3,,
37.7,49.1,,
38.0,64.6,,
38.3,83.4,,
38.7,94.2,,
39.0,103.9,,
39.3,114.8,,
39.7,126.7,,
40.0,145.3,,
40.3,163.9,,
40.7,175.4,,
41.0,182.1,,
41.3,190.9,,
41.7,200.8,,
42.0,215.8,,
42.3,233.7,,
42.7,249.9,,
43.0,258.0,,
43.3,264.2,,
43.7,271.8,,
44.0,284.6,,
44.3,298.9,,
44.7,312.6,,
45.0,322.5,,
45.3,329.3,,
45.7,337.6,,
46.0,351.5,,
46.3,368.1,,
46.7,379.6,,
47.0,388.3,,
47.3,389.6,,
47.7,393.9,,
48.0,402.0,,
48.3,413.7,,
48.7,424.0,,
49.0,429.6,,
49.3,433.5,,
49.7,432.8,,
50.0,440.3,,
50.3,452.1,,
50.7,459.1,,
51.0,458.0,,
51.3,460.6,,
51.7,457.9,,
52.0,462.1,,
52.3,473.9,,
52.7,484.4,,
53.0,485.9,,
53.3,484.4,,
53.7,486.2,,
54.0,484.1,,
54.3,489.8,,
54.7,494.0,,
55.0,496.1,,
55.3,491.1,,
55.7,488.3,,
56.0,489.8,,
56.3,498.3,,
56.7,505.9,,
57.0,506.6,,
57.3,502.9,,
57.7,499.2,,
58.0,497.7,,
58.3,502.2,,
58.7,507.3,,
59.0,509.7,,
59.3,508.4,,
59.7,501.2,,
60.0,498.8,,
60.3,500.9,,
60.7,503.4,,
61.0,503.3,,
61.3,500.2,,
61.7,492.6,,
62.0,486.4,,
62.3,488.3,,
62.7,490.2,,
63.0,488.5,,
63.3,483.5,,
63.7,477.2,,
64.0,466.4,,
64.3,463.7,,
64.7,463.7,,
65.0,460.3,,
65.3,448.9,,
65.7,437.8,,
66.0,427.4,,
66.3,422.5,,
66.7,423.2,,
67.0,418.0,,
67.3,411.2,,
67.7,402.3,,
68.0,391.8,,
68.3,380.8,,
68.7,378.0,,
69.0,373.6,,
69.3,361.8,,
69.7,350.9,,
70.0,344.6,,
70.3,335.5,,
70.7,333.4,,
71.0,329.5,,
71.3,320.3,,
71.7,307.8,,
72.0,294.2,,
72.3,284.3,,
72.7,277.5,,
73.0,270.7,,
73.3,258.1,,
73.7,245.2,,
74.0,227.2,,
74.3,215.0,,
74.7,207.4,,
75.0,201.2,,
75.3,192.4,,
75.7,183.6,,
76.0,172.0,,
76.3,161.5,,
76.7,157.3,,
77.0,150.4,,
77.3,141.9,,
77.7,127.7,,
78.0,109.6,,
78.3,92.3,,
78.7,86.5,,
79.0,77.8,,
79.3,66.4,,
79.7,57.2,,
80.0,42.9,,
80.3,24.2,,
80.7,14.0,,
81.0,5.6,,
81.3,-9.8,,
81.7,-25.8,,
82.0,-41.8,,
82.3,-57.2,,
82.7,-71.1,,
83.0,-80.5,,
83.3,-92.7,,
83.7,-104.5,,
84.0,-119.8,,
84.3,-134.5,,
84.7,-151.1,,
85.0,-161.9,,
85.3,-174.0,,
85.7,-186.0,,
86.0,-198.9,,
86.3,-211.4,,
86.7,-224.8,,
87.0,-239.9,,
87.3,-254.3,,
87.7,-271.6,,
88.0,-288.2,,
